datetime,2,3,4,5,7,8,9,B,main contact,
2018-04-16 13:31:28.0,-64,-51,-60,-61,-25,-67,-66,,7
2018-04-16 13:31:29.0,-68,-61,-66,-65,-25,-69,-58,,7
2018-04-16 13:31:30.0,-59,-59,-64,-65,-27,-59,-60,,7
2018-04-16 13:31:31.0,-67,-66,-66,-62,-27,-63,,,7
2018-04-16 13:31:32.0,-65,-68,,-68,-25,,-60,,7
2018-04-16 13:31:33.0,-67,-52,-64,-57,-27,-67,-68,,7
2018-04-16 13:31:34.0,-63,-56,-60,-55,-24,-59,-64,,7
2018-04-16 13:31:35.0,-61,-62,-64,-53,-25,-69,-65,,7
2018-04-16 13:31:36.0,-61,-55,,,-27,-57,-59,,7
2018-04-16 13:31:37.0,-68,-61,-68,,-24,-64,-62,,7
2018-04-16 13:31:38.0,-66,-57,,-68,-25,-64,-62,,7
2018-04-16 13:31:39.0,-59,-67,-57,-59,-27,-59,-63,,7
2018-04-16 13:31:40.0,-59,-61,-60,-69,-24,-62,-60,,7
2018-04-16 13:31:41.0,-64,-60,,-68,-25,,-62,-66,7
2018-04-16 13:31:42.0,-64,-57,-64,,-27,-66,-61,,7
2018-04-16 13:31:43.0,,,-60,,,,-59,,9
2018-04-16 13:31:44.0,-65,-63,,,,,,,3
2018-04-16 13:31:45.0,-59,-59,,,-27,-60,-59,,7
2018-04-16 13:31:46.0,-67,-47,-61,-66,-24,-61,-62,,7
2018-04-16 13:31:47.0,-59,-37,-62,,-25,-64,,,7
2018-04-16 13:31:48.0,-62,-51,,-62,-27,-62,-63,,7
2018-04-16 13:31:49.0,-67,-57,,-65,-27,-62,-55,,7
2018-04-16 13:31:50.0,-66,-60,-67,,-25,-66,-65,,7
2018-04-16 13:31:51.0,-61,-58,-62,-64,-27,-64,,,7
2018-04-16 13:31:52.0,-67,-49,-63,-64,-24,-62,-57,,7
2018-04-16 13:31:53.0,-66,-62,-67,-67,-25,-64,-57,,7
2018-04-16 13:31:54.0,-62,-64,-65,-63,-28,-62,-63,,7
2018-04-16 13:31:55.0,,,-65,-67,,-64,-67,,8
2018-04-16 13:31:56.0,-64,,-63,-61,-25,-65,-56,,7
2018-04-16 13:31:57.0,-58,-62,-58,-59,-27,-63,-59,-58,7
2018-04-16 13:31:58.0,-67,-64,-58,-62,-24,-63,-60,,7
2018-04-16 13:31:59.0,,-54,-57,-64,-25,,-60,,7
2018-04-16 13:32:00.0,-62,-62,-58,-68,-27,-60,-57,,7
2018-04-16 13:32:01.0,-61,-61,-54,-69,-24,-62,-58,,7
2018-04-16 13:32:02.0,,-62,-54,-67,-25,-63,-60,,7
2018-04-16 13:32:03.0,-62,-66,-55,,-27,,-63,-62,7
2018-04-16 13:32:04.0,-62,-63,-68,-64,-24,-66,-63,,7
2018-04-16 13:32:05.0,-65,-56,-56,-67,-25,-65,-62,,7
2018-04-16 13:32:06.0,-60,-44,-47,-66,-27,-59,-58,,7
2018-04-16 13:32:07.0,-65,-39,-46,-61,-24,-65,,,7
2018-04-16 13:32:08.0,,-67,-51,-63,-25,,-64,-64,7
